game_id,game_duration,winner,first_blood,first_tower,first_inhibitor,first_baron,first_dragon,rift_herald_kill,t1_tower_kills,t1_inhibitor_kills,t1_baron_kills,t1_dragon_kills,t2_tower_kills,t2_inhibitor_kills,t2_baron_kills,t2_dragon_kills
13799,2106,1,1,1,1,1,1,0,9,1,1,3,4,0,0,0
13800,2103,1,2,1,1,0,1,0,11,3,0,2,1,0,0,0
13801,1809,1,2,2,1,1,1,0,9,3,1,2,1,0,0,0
13802,1871,1,1,1,1,1,1,1,11,4,1,3,3,0,0,0
13803,2922,2,1,1,1,2,1,1,9,3,1,4,8,1,1,1
13804,2392,2,1,2,2,1,2,0,3,0,1,0,9,4,0,3
13805,1744,1,1,1,1,1,1,1,10,2,1,2,2,0,0,1
13806,2102,1,2,1,1,1,2,0,8,1,1,2,2,0,0,1
13807,2136,2,2,2,2,2,2,0,3,0,0,0,11,4,1,3
13808,1516,2,2,2,2,2,2,2,0,0,0,0,11,4,1,3
13809,2657,2,2,1,2,2,2,1,5,0,0,4,9,4,1,1
13810,962,1,1,1,0,0,1,0,4,0,0,1,0,0,0,0
13811,2048,1,1,2,1,2,1,0,7,1,1,3,5,0,1,0
13812,2036,2,1,2,2,2,2,0,3,0,0,0,10,3,1,3
13813,2196,2,2,1,2,1,2,0,6,0,1,2,9,3,0,1
13814,1282,2,1,2,2,0,2,0,0,0,0,0,8,2,0,1
13815,2449,1,1,1,1,2,1,1,11,4,1,2,7,1,2,0
13816,2529,2,2,2,2,2,1,2,6,1,0,2,10,4,3,2
13817,1611,2,2,2,2,2,2,2,2,0,0,0,8,4,1,2
13818,2066,2,1,2,2,1,1,0,4,0,1,2,8,1,0,2
13819,2503,1,2,1,1,1,2,0,10,5,2,3,2,0,0,2
13820,1463,2,1,2,2,2,2,2,1,0,0,0,7,1,1,2
13821,1768,1,2,2,1,0,2,0,8,1,0,1,2,0,0,1
13822,1606,1,1,2,1,1,1,0,8,1,1,2,1,0,0,0
13823,1716,2,1,1,1,0,2,0,5,1,0,0,9,1,0,3
13824,2506,2,1,2,2,2,2,0,2,0,0,1,11,4,2,3
13825,1042,2,2,2,0,0,1,2,0,0,0,1,6,0,0,0
13826,1923,1,1,1,1,1,1,0,9,1,1,1,1,0,0,1
13827,1426,1,1,1,1,0,2,1,11,2,0,1,2,0,0,1
13828,2079,1,1,1,1,2,1,2,8,1,1,2,6,0,1,0
13829,1966,2,2,2,2,2,2,0,4,0,0,1,9,1,1,1
13830,1508,2,1,2,2,0,2,0,0,0,0,0,10,2,0,1
13831,1674,1,1,1,0,0,1,1,7,0,0,2,0,0,0,0
13832,2098,2,1,2,2,2,2,0,2,0,0,0,7,1,1,3
13833,2373,1,2,2,2,2,2,2,10,2,0,1,8,4,2,3
13834,1757,1,1,1,1,1,1,0,11,3,1,1,0,0,0,0
13835,1858,1,1,1,1,0,1,1,9,1,0,3,3,0,0,0
13836,1744,1,1,1,1,1,1,0,11,1,1,2,2,0,0,0
13837,921,1,1,1,1,0,1,0,11,1,0,1,1,0,0,0
13838,2120,1,2,2,1,1,1,0,8,2,1,2,5,0,0,2
13839,1560,1,2,1,1,1,1,1,9,1,1,3,0,0,0,0
13840,2160,1,2,1,1,1,1,0,9,3,1,2,2,0,0,0
13841,2434,2,1,1,2,1,1,0,4,0,1,2,11,5,0,2
13842,1235,2,2,2,0,0,2,2,0,0,0,0,7,0,0,1
13843,2256,2,1,2,2,2,1,0,3,0,0,2,9,1,1,1
13844,2334,1,1,1,1,2,1,1,8,2,1,3,3,0,1,1
13845,1508,2,2,2,0,0,2,0,1,0,0,0,7,0,0,2
13846,1437,2,2,2,2,0,2,2,1,0,0,0,10,2,0,1
13847,2043,2,1,1,1,1,2,1,8,3,1,3,9,2,1,2
13848,1680,1,1,1,1,1,2,1,8,1,1,1,4,0,0,2
13849,2032,1,2,2,1,0,2,0,9,2,0,2,3,0,0,2
13850,1354,1,2,1,1,0,2,1,7,1,0,1,0,0,0,1
13851,1822,1,1,1,1,0,2,0,10,2,0,2,2,0,0,1
13852,2265,1,1,1,1,0,1,0,8,2,0,2,1,0,0,1
13853,1358,1,1,1,1,0,1,1,9,1,0,2,0,0,0,0
13854,1899,1,2,1,1,0,2,1,9,2,0,2,2,0,0,1
13855,2297,2,2,1,2,0,2,0,3,0,0,0,10,3,0,4
13856,1611,2,1,2,2,2,1,2,3,0,0,1,11,3,1,2
13857,1311,1,1,1,1,1,1,1,11,3,1,2,0,0,0,0
13858,2314,1,2,1,2,1,1,2,9,1,2,3,7,1,0,0
13859,1584,1,1,1,1,1,1,0,7,1,1,2,1,0,0,1
13860,1638,2,1,2,2,0,2,0,0,0,0,0,8,2,0,3
13861,1922,1,1,1,2,2,1,2,7,1,0,1,7,1,2,2
13862,1800,1,2,2,1,1,2,2,9,3,1,2,4,0,1,1
13863,1661,1,2,2,1,1,2,2,8,1,1,1,3,0,0,1
13864,1659,2,2,2,2,2,2,2,3,0,0,0,8,1,1,2
13865,1174,1,1,1,1,0,0,1,11,2,0,0,1,0,0,0
13866,1301,2,2,1,0,0,1,0,1,0,0,1,3,0,0,0
13867,2208,1,2,2,1,1,2,0,8,2,1,2,5,0,0,2
13868,1934,2,2,2,2,1,1,1,3,0,1,1,11,3,1,3
13869,1879,1,2,1,1,1,1,0,8,1,1,3,2,0,0,0
13870,1334,1,1,1,1,0,1,1,6,1,0,2,0,0,0,0
13871,2238,1,2,2,1,1,2,2,11,3,1,3,4,0,1,1
13872,2595,1,2,1,2,2,1,1,10,2,1,2,8,1,2,2
13873,1936,2,1,1,2,2,2,0,2,0,0,0,8,1,1,3
13874,2621,1,1,2,1,1,1,0,8,2,2,1,6,0,0,3
13875,1967,2,1,2,2,0,2,0,2,0,0,1,11,2,0,3
13876,1807,1,1,1,1,1,1,1,10,3,1,2,2,0,0,0
13877,1425,1,1,1,1,1,1,1,10,2,1,3,0,0,0,0
13878,1366,2,2,1,2,0,2,0,2,0,0,0,7,2,0,2
