id_parlamentar,casa,nome_eleitoral,partido,UF,twitter,twitter2,nome_civil
204439,câmara,DR. LEONARDO,SOLIDARIEDADE,MT,DrLeonardomt,NA,LEONARDO RIBEIRO ALBUQUERQUE
204450,câmara,DR. LUIZ ANTONIO TEIXEIRA JR.,PP,RJ,drluizantoniojr,NA,LUIZ ANTONIO DE SOUZA TEIXEIRA JÚNIOR
204351,câmara,DR. LUIZ OVANDO,PSL,MS,NA,NA,LUIZ ALBERTO OVANDO
204412,câmara,DR. ZACHARIAS CALIL,DEM,GO,NA,NA,ZACARIAS CALIL HAMU
81297,câmara,DRA. SORAYA MANATO,PSL,ES,DraManato,NA,SORAYA DE SOUZA MANNATO
204434,câmara,DRA. VANDA MILANI,SOLIDARIEDADE,AC,Vandamilani,NA,VANDA DENIR MILANI NOGUEIRA
178994,câmara,DULCE MIRANDA,MDB,TO,dulcemiranda_to,NA,DULCE FERREIRA PAGANI MIRANDA
204562,câmara,EDILÁZIO JÚNIOR,PSD,MA,DepEdilazioJr,NA,EDILAZIO GOMES DA SILVA JUNIOR
141417,câmara,EDIO LOPES,PR,RR,ediolopes,NA,ÉDIO VIEIRA LOPES
134812,câmara,EDMILSON RODRIGUES,PSOL,PA,EdmilsonPSOL,NA,EDMILSON BRITO RODRIGUES
204421,câmara,EDNA HENRIQUE,PSDB,PB,NA,NA,EDNACE ALVES SILVESTRE HENRIQUE
74655,câmara,EDUARDO BARBOSA,PSDB,MG,eduardobarbosa_,NA,EDUARDO LUIZ BARROS BARBOSA
204541,câmara,EDUARDO BISMARCK,PDT,CE,eduardobismarck,NA,EDUARDO HENRIQUE MAIA BISMARCK
92346,câmara,EDUARDO BOLSONARO,PSL,SP,bolsonarosp,NA,EDUARDO NANTES BOLSONARO
204552,câmara,EDUARDO BRAIDE,PMN,MA,SouEduardo33,NA,EDUARDO SALIM BRAIDE
204500,câmara,EDUARDO COSTA,PTB,PA,dep_eduardo,NA,JOSE EDUARDO PEREIRA DA COSTA
178977,câmara,EDUARDO CURY,PSDB,SP,eduardo_cury,NA,EDUARDO PEDROSA CURY
141421,câmara,EDUARDO DA FONTE,PP,PE,eduardodafonte,NA,EDUARDO HENRIQUE DA FONTE DE ALBUQUERQUE SILVA
141422,câmara,EFRAIM FILHO,DEM,PB,efraimfilho,NA,EFRAIM DE ARAÚJO MORAIS FILHO
74075,câmara,ELCIONE BARBALHO,MDB,PA,elcionepmdb,NA,ELCIONE THEREZINHA ZAHLUTH BARBALHO
204364,câmara,ELI BORGES,SOLIDARIEDADE,TO,elidiasborges,NA,ELI DIAS BORGES
